param,metric,correlation
rsi_threshold,maxdd,0.18504201985426563
dca_spacing,sharpe,0.16608884426595324
td_confirm,sharpe,0.13770503520882366
td_confirm,maxdd,-0.1308784673940013
dca_max_steps,pnl,-0.11132871182371817
dca_spacing,maxdd,-0.10001360820331613
td_confirm,pnl,-0.07777227462501674
dca_ratio,maxdd,0.07258086861808745
dca_ratio,sharpe,0.06243435662590254
dca_ratio,pnl,-0.03577933677786536
dca_spacing,pnl,-0.03202328720384712
dca_max_steps,sharpe,-0.018485722261245275
dca_max_steps,maxdd,-0.013998756159725368
rsi_threshold,sharpe,-0.005710451541681857
rsi_threshold,pnl,0.00371104855696341
dca_max_steps,win_rate,
dca_ratio,win_rate,
dca_spacing,win_rate,
rsi_threshold,win_rate,
td_confirm,win_rate,
