param,mean,median,std,n_unique
param_trial_id,52.0,52.0,29.87752778706208,103
param_number,51.0,51.0,29.87752778706208,103
param_study_id,1.0,1.0,0.0,1
param_state,,,,2
param_datetime_start,,,,103
param_datetime_complete,,,,103
param_param_dca_max_steps,2.6407766990291264,2.0,1.4132036261146186,5
param_param_dca_ratio,0.27433482305468515,0.25545756482551396,0.11354740519638024,60
param_param_dca_spacing,0.030267163876094252,0.027933046961865583,0.011392419364968863,60
param_param_rsi_threshold,55.0,55.0,16.79168795308338,36
param_param_td_confirm,0.44660194174757284,0.0,0.49957148970845594,2
